STATION,DATE,FT NAVD88,M NAVD88,FLOODCLASS,STORMNAME,TYPE,STATIONLAT,STATIONLONG,REGION,YEAR,DOWNSTREAM KM
SEWELLS,9/12/60,5.92,1.31,MODERATE,DONNA,AH,36.946667,-76.33,COASTAL,1960,532
CARTERSVILLE,4/14/61,15.1,4.88,ACTION,NT65,NT,37.670833,-78.086111,PIEDMONT,1961,291
RICHWEST,4/14/61,12.63,4.16,FLOOD,NT65,NT,37.563056,-77.547222,PIEDMONT,1961,354.6
LICKRUN,10/21/61,19.87,6.06,FLOOD,NT66,NT,37.773611,-79.784444,MOUNTAIN,1961,0
BUCHANAN,10/21/61,17.68,5.39,FLOOD,NT66,NT,37.530556,-79.679167,MOUNTAIN,1961,57.7
HOLCOMBROCK,10/21/61,21.87,6.67,ACTION,NT66,NT,37.501111,-79.262778,PIEDMONT,1961,112.3
BENTCREEK,10/22/61,16.42,5,FLOOD,NT66,NT,37.536111,-78.829722,PIEDMONT,1961,177.8
CARTERSVILLE,10/22/61,23.13,7.33,MODERATE,NT66,NT,37.670833,-78.086111,PIEDMONT,1961,291
RICHWEST,10/23/61,17.98,5.79,MODERATE,NT66,NT,37.563056,-77.547222,PIEDMONT,1961,354.6
RICHLOCKS,10/23/61,16.7,5.09,FLOOD,NT66,NT,37.525,-77.421111,PIEDMONT,1961,367.3
SEWELLS,3/7/62,7.22,1.71,MAJOR,NT67,NT,36.946667,-76.33,COASTAL,1962,532
RICHWEST,3/14/62,14.92,4.86,FLOOD,NT68,NT,37.563056,-77.547222,PIEDMONT,1962,354.6
RICHWEST,3/24/62,13.92,4.56,FLOOD,NT69,NT,37.563056,-77.547222,PIEDMONT,1962,354.6
LICKRUN,3/12/63,22.6,6.89,MODERATE,NT70,NT,37.773611,-79.784444,MOUNTAIN,1963,0
BUCHANAN,3/13/63,22.3,6.8,MODERATE,NT70,NT,37.530556,-79.679167,MOUNTAIN,1963,57.7
HOLCOMBROCK,3/13/63,24.75,7.54,MODERATE,NT70,NT,37.501111,-79.262778,PIEDMONT,1963,112.3
BENTCREEK,3/13/63,18.47,5.63,MODERATE,NT70,NT,37.536111,-78.829722,PIEDMONT,1963,177.8
SCOTTSVILLE,3/14/63,20.82,6.35,FLOOD,NT70,NT,37.797222,-78.491667,PIEDMONT,1963,240.3
CARTERSVILLE,3/14/63,21.33,6.78,FLOOD,NT70,NT,37.670833,-78.086111,PIEDMONT,1963,291
RICHWEST,3/15/63,16.42,5.32,MODERATE,NT70,NT,37.563056,-77.547222,PIEDMONT,1963,354.6
RICHLOCKS,3/15/63,13.5,4.11,FLOOD,NT70,NT,37.525,-77.421111,PIEDMONT,1963,367.3
RICHWEST,1/27/64,11.22,3.73,ACTION,NT71,NT,37.563056,-77.547222,PIEDMONT,1964,354.6
LICKRUN,3/6/64,16.07,4.9,FLOOD,NT72,NT,37.773611,-79.784444,MOUNTAIN,1964,0
LICKRUN,1/24/65,15.26,4.65,ACTION,NT73,NT,37.773611,-79.784444,MOUNTAIN,1965,0
LICKRUN,2/8/65,16.5,5.03,FLOOD,NT74,NT,37.773611,-79.784444,MOUNTAIN,1965,0
BUCHANAN,2/8/65,16.28,4.96,ACTION,NT74,NT,37.530556,-79.679167,MOUNTAIN,1965,57.7
CARTERSVILLE,2/8/65,19.83,6.33,ACTION,NT74,NT,37.670833,-78.086111,PIEDMONT,1965,291
RICHWEST,2/9/65,15.32,4.98,MODERATE,NT74,NT,37.563056,-77.547222,PIEDMONT,1965,354.6
LICKRUN,2/14/66,16.34,4.98,FLOOD,NT75,NT,37.773611,-79.784444,MOUNTAIN,1966,0
BUCHANAN,2/14/66,16.44,5.01,ACTION,NT75,NT,37.530556,-79.679167,MOUNTAIN,1966,57.7
CARTERSVILLE,2/14/66,16.82,5.41,ACTION,NT75,NT,37.670833,-78.086111,PIEDMONT,1966,291
RICHWEST,2/15/66,13.75,4.5,FLOOD,NT75,NT,37.563056,-77.547222,PIEDMONT,1966,354.6
LICKRUN,3/8/67,22.3,6.8,MODERATE,NT76,NT,37.773611,-79.784444,MOUNTAIN,1967,0
BUCHANAN,3/8/67,20.77,6.33,FLOOD,NT76,NT,37.530556,-79.679167,MOUNTAIN,1967,57.7
HOLCOMBROCK,3/8/67,22.46,6.85,FLOOD,NT76,NT,37.501111,-79.262778,PIEDMONT,1967,112.3
BENTCREEK,3/8/67,16.23,4.95,FLOOD,NT76,NT,37.536111,-78.829722,PIEDMONT,1967,177.8
CARTERSVILLE,3/8/67,19.61,6.26,ACTION,NT76,NT,37.670833,-78.086111,PIEDMONT,1967,291
SCOTTSVILLE,3/9/67,19.07,5.81,ACTION,NT76,NT,37.797222,-78.491667,PIEDMONT,1967,240.3
RICHWEST,3/9/67,15.37,5,MODERATE,NT76,NT,37.563056,-77.547222,PIEDMONT,1967,354.6
LICKRUN,3/15/67,19.22,5.86,FLOOD,NT77,NT,37.773611,-79.784444,MOUNTAIN,1967,0
BUCHANAN,3/16/67,17.36,5.29,FLOOD,NT77,NT,37.530556,-79.679167,MOUNTAIN,1967,57.7
RICHWEST,3/18/67,13.51,4.43,FLOOD,NT77,NT,37.563056,-77.547222,PIEDMONT,1967,354.6
RICHWEST,12/12/67,11.24,3.74,ACTION,NT78,NT,37.563056,-77.547222,PIEDMONT,1967,354.6
LICKRUN,8/20/69,25.53,7.78,MAJOR,CAMILLE,GH,37.773611,-79.784444,MOUNTAIN,1969,0
BUCHANAN,8/20/69,23.37,7.12,MODERATE,CAMILLE,GH,37.530556,-79.679167,MOUNTAIN,1969,57.7
HOLCOMBROCK,8/20/69,35.5,10.82,MAJOR,CAMILLE,GH,37.501111,-79.262778,PIEDMONT,1969,112.3
BENTCREEK,8/20/69,24.77,7.55,MAJOR,CAMILLE,GH,37.536111,-78.829722,PIEDMONT,1969,177.8
SCOTTSVILLE,8/20/69,30,9.14,MAJOR,CAMILLE,GH,37.797222,-78.491667,PIEDMONT,1969,240.3
CARTERSVILLE,8/21/69,33.75,10.57,MAJOR,CAMILLE,GH,37.670833,-78.086111,PIEDMONT,1969,291
RICHWEST,8/21/69,24.95,7.92,MAJOR,CAMILLE,GH,37.563056,-77.547222,PIEDMONT,1969,354.6
RICHLOCKS,8/22/69,28.6,8.72,MAJOR,CAMILLE,GH,37.525,-77.421111,PIEDMONT,1969,367.3
LICKRUN,12/31/69,19.88,6.06,FLOOD,NT79,NT,37.773611,-79.784444,MOUNTAIN,1969,0
BUCHANAN,1/1/70,19.81,6.04,FLOOD,NT80,NT,37.530556,-79.679167,MOUNTAIN,1970,57.7
HOLCOMBROCK,1/1/70,22.2,6.77,FLOOD,NT80,NT,37.501111,-79.262778,PIEDMONT,1970,112.3
BENTCREEK,1/1/70,16.08,4.9,FLOOD,NT80,NT,37.536111,-78.829722,PIEDMONT,1970,177.8
SCOTTSVILLE,1/1/70,19.05,5.81,ACTION,NT80,NT,37.797222,-78.491667,PIEDMONT,1970,240.3
CARTERSVILLE,1/2/70,19.03,6.08,ACTION,NT80,NT,37.670833,-78.086111,PIEDMONT,1970,291
RICHWEST,1/2/70,14.93,4.86,FLOOD,NT80,NT,37.563056,-77.547222,PIEDMONT,1970,354.6
RICHWEST,2/26/70,14.24,4.65,FLOOD,NT81,NT,37.563056,-77.547222,PIEDMONT,1970,354.6
LICKRUN,2/14/71,19.61,5.98,FLOOD,NT82,NT,37.773611,-79.784444,MOUNTAIN,1971,0
BUCHANAN,2/14/71,18.9,5.76,FLOOD,NT82,NT,37.530556,-79.679167,MOUNTAIN,1971,57.7
LICKRUN,5/31/71,19.71,6.01,FLOOD,NT83,NT,37.773611,-79.784444,MOUNTAIN,1971,0
BUCHANAN,5/31/71,19.07,5.81,FLOOD,NT83,NT,37.530556,-79.679167,MOUNTAIN,1971,57.7
HOLCOMBROCK,5/31/71,22.62,6.89,FLOOD,NT83,NT,37.501111,-79.262778,PIEDMONT,1971,112.3
BENTCREEK,5/31/71,16.31,4.97,FLOOD,NT83,NT,37.536111,-78.829722,PIEDMONT,1971,177.8
SCOTTSVILLE,6/1/71,19.12,5.83,ACTION,NT84,NT,37.797222,-78.491667,PIEDMONT,1971,240.3
CARTERSVILLE,6/1/71,21.51,6.84,FLOOD,NT84,NT,37.670833,-78.086111,PIEDMONT,1971,291
RICHWEST,6/1/71,17.02,5.5,MODERATE,NT84,NT,37.563056,-77.547222,PIEDMONT,1971,354.6
RICHLOCKS,6/2/71,14.2,4.33,FLOOD,NT84,NT,37.525,-77.421111,PIEDMONT,1971,367.3
RICHWEST,10/26/71,13.94,4.56,FLOOD,NT85,NT,37.563056,-77.547222,PIEDMONT,1971,354.6
RICHWEST,2/14/72,13.84,4.53,FLOOD,NT86,NT,37.563056,-77.547222,PIEDMONT,1972,354.6
LICKRUN,2/26/72,19.84,6.05,FLOOD,NT87,NT,37.773611,-79.784444,MOUNTAIN,1972,0
BUCHANAN,2/27/72,18.52,5.64,FLOOD,NT87,NT,37.530556,-79.679167,MOUNTAIN,1972,57.7
RICHWEST,2/28/72,13.93,4.56,FLOOD,NT87,NT,37.563056,-77.547222,PIEDMONT,1972,354.6
LICKRUN,6/21/72,27.01,8.23,MAJOR,AGNES,GT,37.773611,-79.784444,MOUNTAIN,1972,0
BENTCREEK,6/21/72,27.13,8.27,MAJOR,AGNES,GT,37.536111,-78.829722,PIEDMONT,1972,177.8
BUCHANAN,6/22/72,30.49,9.29,MAJOR,AGNES,GT,37.530556,-79.679167,MOUNTAIN,1972,57.7
HOLCOMBROCK,6/22/72,32.38,9.87,MAJOR,AGNES,GT,37.501111,-79.262778,PIEDMONT,1972,112.3
SCOTTSVILLE,6/22/72,34.02,10.37,MAJOR,AGNES,GT,37.797222,-78.491667,PIEDMONT,1972,240.3
CARTERSVILLE,6/22/72,37.87,11.82,MAJOR,AGNES,GT,37.670833,-78.086111,PIEDMONT,1972,291
RICHWEST,6/23/72,28.62,9.04,MAJOR,AGNES,GT,37.563056,-77.547222,PIEDMONT,1972,354.6
RICHLOCKS,6/23/72,36.5,11.13,MAJOR,AGNES,GT,37.525,-77.421111,PIEDMONT,1972,367.3
SCOTTSVILLE,10/6/72,23.24,7.08,MODERATE,NT88,NT,37.797222,-78.491667,PIEDMONT,1972,240.3
CARTERSVILLE,10/6/72,27.12,8.55,MAJOR,NT88,NT,37.670833,-78.086111,PIEDMONT,1972,291
RICHWEST,10/7/72,21.76,6.95,MODERATE,NT88,NT,37.563056,-77.547222,PIEDMONT,1972,354.6
RICHLOCKS,10/7/72,24.2,7.38,MODERATE,NT88,NT,37.525,-77.421111,PIEDMONT,1972,367.3
RICHWEST,11/15/72,14.09,4.61,FLOOD,NT89,NT,37.563056,-77.547222,PIEDMONT,1972,354.6
LICKRUN,2/3/73,17.82,5.43,FLOOD,NT90,NT,37.773611,-79.784444,MOUNTAIN,1973,0
BUCHANAN,2/3/73,18.16,5.54,FLOOD,NT90,NT,37.530556,-79.679167,MOUNTAIN,1973,57.7
BENTCREEK,2/3/73,15.01,4.58,ACTION,NT90,NT,37.536111,-78.829722,PIEDMONT,1973,177.8
RICHWEST,2/4/73,16.46,5.33,MODERATE,NT90,NT,37.563056,-77.547222,PIEDMONT,1973,354.6
RICHLOCKS,2/4/73,13.5,4.11,FLOOD,NT90,NT,37.525,-77.421111,PIEDMONT,1973,367.3
LICKRUN,3/17/73,18.66,5.69,FLOOD,NT91,NT,37.773611,-79.784444,MOUNTAIN,1973,0
BUCHANAN,3/18/73,19.23,5.86,FLOOD,NT91,NT,37.530556,-79.679167,MOUNTAIN,1973,57.7
RICHWEST,3/19/73,14.35,4.69,FLOOD,NT91,NT,37.563056,-77.547222,PIEDMONT,1973,354.6
LICKRUN,5/28/73,19.44,5.93,FLOOD,NT92,NT,37.773611,-79.784444,MOUNTAIN,1973,0
BUCHANAN,5/29/73,20.38,6.21,FLOOD,NT92,NT,37.530556,-79.679167,MOUNTAIN,1973,57.7
HOLCOMBROCK,5/29/73,21.89,6.67,ACTION,NT92,NT,37.501111,-79.262778,PIEDMONT,1973,112.3
BENTCREEK,5/29/73,15.75,4.8,ACTION,NT92,NT,37.536111,-78.829722,PIEDMONT,1973,177.8
RICHWEST,5/30/73,14.79,4.82,FLOOD,NT92,NT,37.563056,-77.547222,PIEDMONT,1973,354.6
RICHWEST,12/22/73,15.6,5.07,MODERATE,NT93,NT,37.563056,-77.547222,PIEDMONT,1973,354.6
LICKRUN,12/27/73,24.77,7.55,MODERATE,NT94,NT,37.773611,-79.784444,MOUNTAIN,1973,0
BUCHANAN,12/27/73,24.17,7.37,MODERATE,NT94,NT,37.530556,-79.679167,MOUNTAIN,1973,57.7
SCOTTSVILLE,12/28/73,21.12,6.44,FLOOD,NT94,NT,37.797222,-78.491667,PIEDMONT,1973,240.3
HOLCOMBROCK,12/29/73,24.69,7.53,MODERATE,NT94,NT,37.501111,-79.262778,PIEDMONT,1973,112.3
CARTERSVILLE,12/29/73,20.89,6.65,FLOOD,NT94,NT,37.670833,-78.086111,PIEDMONT,1973,291
RICHWEST,12/29/73,15.94,5.17,MODERATE,NT94,NT,37.563056,-77.547222,PIEDMONT,1973,354.6
LICKRUN,5/13/74,17.51,5.34,FLOOD,NT95,NT,37.773611,-79.784444,MOUNTAIN,1974,0
BUCHANAN,5/13/74,16.31,4.97,ACTION,NT95,NT,37.530556,-79.679167,MOUNTAIN,1974,57.7
RICHWEST,9/8/74,13.82,4.53,FLOOD,NT96,NT,37.563056,-77.547222,PIEDMONT,1974,354.6
BENTCREEK,12/28/74,18,5.49,MODERATE,NT97,NT,37.536111,-78.829722,PIEDMONT,1974,177.8
BUCHANAN,3/14/75,16.39,5,ACTION,NT98,NT,37.530556,-79.679167,MOUNTAIN,1975,57.7
RICHWEST,3/16/75,14.29,4.67,FLOOD,NT98,NT,37.563056,-77.547222,PIEDMONT,1975,354.6
BENTCREEK,3/19/75,18.34,5.59,MODERATE,NT98,NT,37.536111,-78.829722,PIEDMONT,1975,177.8
SCOTTSVILLE,3/19/75,24.63,7.51,MAJOR,NT98,NT,37.797222,-78.491667,PIEDMONT,1975,240.3
LICKRUN,3/20/75,17.79,5.42,FLOOD,NT98,NT,37.773611,-79.784444,MOUNTAIN,1975,0
BUCHANAN,3/20/75,17.93,5.47,FLOOD,NT98,NT,37.530556,-79.679167,MOUNTAIN,1975,57.7
HOLCOMBROCK,3/20/75,22.53,6.87,FLOOD,NT98,NT,37.501111,-79.262778,PIEDMONT,1975,112.3
CARTERSVILLE,3/20/75,26.04,8.22,MODERATE,NT98,NT,37.670833,-78.086111,PIEDMONT,1975,291
RICHWEST,3/21/75,20.08,6.43,MODERATE,NT98,NT,37.563056,-77.547222,PIEDMONT,1975,354.6
RICHLOCKS,3/21/75,20.8,6.34,MODERATE,NT98,NT,37.525,-77.421111,PIEDMONT,1975,367.3
RICHWEST,9/26/75,16.04,5.2,MODERATE,ELOISE,GH,37.563056,-77.547222,PIEDMONT,1975,354.6
LICKRUN,10/18/75,15.61,4.76,ACTION,NT99,NT,37.773611,-79.784444,MOUNTAIN,1975,0
LICKRUN,1/1/76,16.4,5,FLOOD,NT100,NT,37.773611,-79.784444,MOUNTAIN,1976,0
BUCHANAN,1/1/76,16.02,4.88,ACTION,NT100,NT,37.530556,-79.679167,MOUNTAIN,1976,57.7
CARTERSVILLE,1/1/76,17.26,5.54,ACTION,NT100,NT,37.670833,-78.086111,PIEDMONT,1976,291
RICHWEST,1/2/76,14.08,4.6,FLOOD,NT100,NT,37.563056,-77.547222,PIEDMONT,1976,354.6
LICKRUN,10/9/76,17.13,5.22,FLOOD,NT101,NT,37.773611,-79.784444,MOUNTAIN,1976,0
BUCHANAN,10/10/76,17,5.18,FLOOD,NT101,NT,37.530556,-79.679167,MOUNTAIN,1976,57.7
CARTERSVILLE,10/10/76,20.6,6.56,FLOOD,NT101,NT,37.670833,-78.086111,PIEDMONT,1976,291
RICHWEST,10/11/76,15.63,5.08,MODERATE,NT101,NT,37.563056,-77.547222,PIEDMONT,1976,354.6
LICKRUN,4/5/77,22.54,6.87,MODERATE,NT102,NT,37.773611,-79.784444,MOUNTAIN,1977,0
BUCHANAN,4/6/77,22.81,6.95,MODERATE,NT102,NT,37.530556,-79.679167,MOUNTAIN,1977,57.7
HOLCOMBROCK,4/6/77,23.47,7.15,FLOOD,NT102,NT,37.501111,-79.262778,PIEDMONT,1977,112.3
BENTCREEK,4/6/77,16.66,5.08,FLOOD,NT102,NT,37.536111,-78.829722,PIEDMONT,1977,177.8
SCOTTSVILLE,4/6/77,19.55,5.96,ACTION,NT102,NT,37.797222,-78.491667,PIEDMONT,1977,240.3
RICHWEST,4/7/77,14.86,4.84,FLOOD,NT102,NT,37.563056,-77.547222,PIEDMONT,1977,354.6
RICHWEST,1/10/78,13.6,4.46,FLOOD,NT103,NT,37.563056,-77.547222,PIEDMONT,1978,354.6
LICKRUN,1/26/78,21.66,6.6,FLOOD,NT103,NT,37.773611,-79.784444,MOUNTAIN,1978,0
HOLCOMBROCK,1/26/78,25.59,7.8,MODERATE,NT103,NT,37.501111,-79.262778,PIEDMONT,1978,112.3
BUCHANAN,1/27/78,22.31,6.8,MODERATE,NT103,NT,37.530556,-79.679167,MOUNTAIN,1978,57.7
BENTCREEK,1/27/78,18.38,5.6,MODERATE,NT103,NT,37.536111,-78.829722,PIEDMONT,1978,177.8
SCOTTSVILLE,1/27/78,22.23,6.78,MODERATE,NT103,NT,37.797222,-78.491667,PIEDMONT,1978,240.3
CARTERSVILLE,1/27/78,25.08,7.93,MODERATE,NT103,NT,37.670833,-78.086111,PIEDMONT,1978,291
RICHWEST,1/28/78,19.36,6.21,MODERATE,NT103,NT,37.563056,-77.547222,PIEDMONT,1978,354.6
RICHLOCKS,1/28/78,19.5,5.94,MODERATE,NT103,NT,37.525,-77.421111,PIEDMONT,1978,367.3
LICKRUN,3/15/78,18.01,5.49,FLOOD,NT104,NT,37.773611,-79.784444,MOUNTAIN,1978,0
BUCHANAN,3/15/78,18.87,5.75,FLOOD,NT104,NT,37.530556,-79.679167,MOUNTAIN,1978,57.7
RICHWEST,3/17/78,14.1,4.61,FLOOD,NT104,NT,37.563056,-77.547222,PIEDMONT,1978,354.6
LICKRUN,3/27/78,18.54,5.65,FLOOD,NT105,NT,37.773611,-79.784444,MOUNTAIN,1978,0
BUCHANAN,3/27/78,18.72,5.71,FLOOD,NT105,NT,37.530556,-79.679167,MOUNTAIN,1978,57.7
HOLCOMBROCK,3/27/78,21.27,6.48,ACTION,NT105,NT,37.501111,-79.262778,PIEDMONT,1978,112.3
RICHWEST,3/28/78,14.55,4.75,FLOOD,NT105,NT,37.563056,-77.547222,PIEDMONT,1978,354.6
BUCHANAN,4/27/78,16.64,5.07,ACTION,NT106,NT,37.530556,-79.679167,MOUNTAIN,1978,57.7
SEWELLS,4/27/78,6.41,1.46,MODERATE,NT106,NT,36.946667,-76.33,COASTAL,1978,532
RICHWEST,4/28/78,15.12,4.92,MODERATE,NT106,NT,37.563056,-77.547222,PIEDMONT,1978,354.6
RICHWEST,1/23/79,13.2,4.34,FLOOD,NT107,NT,37.563056,-77.547222,PIEDMONT,1979,354.6
LICKRUN,2/25/79,18.04,5.5,FLOOD,NT108,NT,37.773611,-79.784444,MOUNTAIN,1979,0
BUCHANAN,2/25/79,19.91,6.07,FLOOD,NT108,NT,37.530556,-79.679167,MOUNTAIN,1979,57.7
HOLCOMBROCK,2/26/79,24.56,7.49,MODERATE,NT108,NT,37.501111,-79.262778,PIEDMONT,1979,112.3
BENTCREEK,2/26/79,18.37,5.6,MODERATE,NT108,NT,37.536111,-78.829722,PIEDMONT,1979,177.8
SCOTTSVILLE,2/26/79,22.63,6.9,MODERATE,NT108,NT,37.797222,-78.491667,PIEDMONT,1979,240.3
CARTERSVILLE,2/26/79,26.33,8.31,MODERATE,NT108,NT,37.670833,-78.086111,PIEDMONT,1979,291
RICHWEST,2/27/79,20.38,6.52,MODERATE,NT108,NT,37.563056,-77.547222,PIEDMONT,1979,354.6
RICHLOCKS,2/27/79,22.5,6.86,MODERATE,NT108,NT,37.525,-77.421111,PIEDMONT,1979,367.3
LICKRUN,3/5/79,16.5,5.03,FLOOD,NT109,NT,37.773611,-79.784444,MOUNTAIN,1979,0
BUCHANAN,3/6/79,16.86,5.14,ACTION,NT109,NT,37.530556,-79.679167,MOUNTAIN,1979,57.7
RICHWEST,3/7/79,15.02,4.89,MODERATE,NT109,NT,37.563056,-77.547222,PIEDMONT,1979,354.6
SCOTTSVILLE,6/4/79,21.28,6.49,FLOOD,NT110,NT,37.797222,-78.491667,PIEDMONT,1979,240.3
CARTERSVILLE,6/4/79,24.19,7.66,MODERATE,NT110,NT,37.670833,-78.086111,PIEDMONT,1979,291
RICHWEST,6/5/79,18,5.8,MODERATE,NT110,NT,37.563056,-77.547222,PIEDMONT,1979,354.6
RICHWEST,9/7/79,14.28,4.67,FLOOD,DAVID,AH,37.563056,-77.547222,PIEDMONT,1979,354.6
SCOTTSVILLE,9/22/79,19.1,5.82,ACTION,NT111,NT,37.797222,-78.491667,PIEDMONT,1979,240.3
CARTERSVILLE,9/23/79,21.86,6.94,FLOOD,NT111,NT,37.670833,-78.086111,PIEDMONT,1979,291
RICHWEST,9/24/79,16.13,5.23,MODERATE,NT111,NT,37.563056,-77.547222,PIEDMONT,1979,354.6
RICHWEST,10/1/79,13.52,4.43,FLOOD,NT112,NT,37.563056,-77.547222,PIEDMONT,1979,354.6
RICHWEST,4/11/80,13.3,4.37,FLOOD,NT113,NT,37.563056,-77.547222,PIEDMONT,1980,354.6
BUCHANAN,4/15/80,18.29,5.57,FLOOD,NT114,NT,37.530556,-79.679167,MOUNTAIN,1980,57.7
BENTCREEK,4/15/80,15.37,4.68,ACTION,NT114,NT,37.536111,-78.829722,PIEDMONT,1980,177.8
CARTERSVILLE,4/16/80,18.86,6.03,ACTION,NT114,NT,37.670833,-78.086111,PIEDMONT,1980,291
RICHWEST,4/16/80,14.74,4.81,FLOOD,NT114,NT,37.563056,-77.547222,PIEDMONT,1980,354.6
RICHWEST,2/5/82,13.78,4.51,FLOOD,NT115,NT,37.563056,-77.547222,PIEDMONT,1982,354.6
LICKRUN,6/13/82,17.79,5.42,FLOOD,NT116,NT,37.773611,-79.784444,MOUNTAIN,1982,0
BUCHANAN,6/13/82,18.37,5.6,FLOOD,NT116,NT,37.530556,-79.679167,MOUNTAIN,1982,57.7
HOLCOMBROCK,6/13/82,23.67,7.21,FLOOD,NT116,NT,37.501111,-79.262778,PIEDMONT,1982,112.3
BENTCREEK,6/14/82,16.75,5.11,FLOOD,NT116,NT,37.536111,-78.829722,PIEDMONT,1982,177.8
SCOTTSVILLE,6/14/82,20.08,6.12,FLOOD,NT116,NT,37.797222,-78.491667,PIEDMONT,1982,240.3
CARTERSVILLE,6/15/82,20.91,6.66,FLOOD,NT116,NT,37.670833,-78.086111,PIEDMONT,1982,291
RICHWEST,6/15/82,15.65,5.08,MODERATE,NT116,NT,37.563056,-77.547222,PIEDMONT,1982,354.6
RICHWEST,4/4/83,14.12,4.62,FLOOD,NT117,NT,37.563056,-77.547222,PIEDMONT,1983,354.6
CARTERSVILLE,4/11/83,20.26,6.46,FLOOD,NT118,NT,37.670833,-78.086111,PIEDMONT,1983,291
RICHWEST,4/12/83,15.66,5.09,MODERATE,NT118,NT,37.563056,-77.547222,PIEDMONT,1983,354.6
RICHWEST,4/16/83,13.7,4.49,FLOOD,NT119,NT,37.563056,-77.547222,PIEDMONT,1983,354.6
RICHWEST,4/26/83,13.77,4.51,FLOOD,NT120,NT,37.563056,-77.547222,PIEDMONT,1983,354.6
LICKRUN,2/14/84,17.3,5.27,FLOOD,NT121,NT,37.773611,-79.784444,MOUNTAIN,1984,0
BUCHANAN,2/14/84,19.1,5.82,FLOOD,NT121,NT,37.530556,-79.679167,MOUNTAIN,1984,57.7
HOLCOMBROCK,2/15/84,22.63,6.9,FLOOD,NT121,NT,37.501111,-79.262778,PIEDMONT,1984,112.3
BENTCREEK,2/15/84,16.11,4.91,FLOOD,NT121,NT,37.536111,-78.829722,PIEDMONT,1984,177.8
SCOTTSVILLE,2/15/84,19.65,5.99,ACTION,NT121,NT,37.797222,-78.491667,PIEDMONT,1984,240.3
CARTERSVILLE,2/16/84,22.42,7.12,FLOOD,NT121,NT,37.670833,-78.086111,PIEDMONT,1984,291
RICHWEST,2/16/84,17.27,5.58,MODERATE,NT121,NT,37.563056,-77.547222,PIEDMONT,1984,354.6
RICHLOCKS,2/17/84,15,4.57,FLOOD,NT121,NT,37.525,-77.421111,PIEDMONT,1984,367.3
CARTERSVILLE,3/30/84,21.62,6.87,FLOOD,NT122,NT,37.670833,-78.086111,PIEDMONT,1984,291
RICHWEST,3/30/84,16.71,5.41,MODERATE,NT122,NT,37.563056,-77.547222,PIEDMONT,1984,354.6
RICHWEST,4/6/84,12.9,4.24,FLOOD,NT123,NT,37.563056,-77.547222,PIEDMONT,1984,354.6
CARTERSVILLE,8/19/85,18.17,5.82,ACTION,DANNY85,GH,37.670833,-78.086111,PIEDMONT,1985,291
RICHWEST,8/19/85,14.94,4.87,FLOOD,DANNY85,GH,37.563056,-77.547222,PIEDMONT,1985,354.6
LICKRUN,11/5/85,30.22,9.21,MAJOR,NT124,NT,37.773611,-79.784444,MOUNTAIN,1985,0
BUCHANAN,11/5/85,38.84,11.84,MAJOR,NT124,NT,37.530556,-79.679167,MOUNTAIN,1985,57.7
HOLCOMBROCK,11/5/85,42.15,12.85,MAJOR,NT124,NT,37.501111,-79.262778,PIEDMONT,1985,112.3
BENTCREEK,11/5/85,30.76,9.38,MAJOR,NT124,NT,37.536111,-78.829722,PIEDMONT,1985,177.8
SCOTTSVILLE,11/6/85,31.77,9.68,MAJOR,NT124,NT,37.797222,-78.491667,PIEDMONT,1985,240.3
CARTERSVILLE,11/6/85,32.6,10.22,MAJOR,NT124,NT,37.670833,-78.086111,PIEDMONT,1985,291
RICHWEST,11/7/85,24.77,7.86,MAJOR,NT124,NT,37.563056,-77.547222,PIEDMONT,1985,354.6
RICHLOCKS,11/7/85,30.76,9.38,MAJOR,NT124,NT,37.525,-77.421111,PIEDMONT,1985,367.3
BUCHANAN,4/16/86,24.81,7.56,MODERATE,NT125,NT,37.530556,-79.679167,MOUNTAIN,1986,57.7
SCOTTSVILLE,4/26/86,20.73,6.32,FLOOD,NT126,NT,37.797222,-78.491667,PIEDMONT,1986,240.3
LICKRUN,4/16/87,20.23,6.17,FLOOD,NT127,NT,37.773611,-79.784444,MOUNTAIN,1987,0
HOLCOMBROCK,4/17/87,28.36,8.64,MAJOR,NT127,NT,37.501111,-79.262778,PIEDMONT,1987,112.3
BENTCREEK,4/17/87,21.73,6.62,MODERATE,NT127,NT,37.536111,-78.829722,PIEDMONT,1987,177.8
SCOTTSVILLE,4/17/87,26.17,7.98,MAJOR,NT127,NT,37.797222,-78.491667,PIEDMONT,1987,240.3
CARTERSVILLE,4/18/87,27.96,8.8,MAJOR,NT127,NT,37.670833,-78.086111,PIEDMONT,1987,291
RICHWEST,4/18/87,21.91,6.99,MODERATE,NT127,NT,37.563056,-77.547222,PIEDMONT,1987,354.6
HOLCOMBROCK,4/25/87,22.59,6.89,FLOOD,NT128,NT,37.501111,-79.262778,PIEDMONT,1987,112.3
BENTCREEK,4/26/87,16.67,5.08,FLOOD,NT128,NT,37.536111,-78.829722,PIEDMONT,1987,177.8
HOLCOMBROCK,9/8/87,24.2,7.38,MODERATE,NOT_NAMED262,AT,37.501111,-79.262778,PIEDMONT,1987,112.3
BENTCREEK,9/8/87,20.25,6.17,MODERATE,NOT_NAMED262,AT,37.536111,-78.829722,PIEDMONT,1987,177.8
